path	family	name	backend	exp_name	width	height	num_ants	food_count	food_sources	write_bits	critic_architecture	reward_mode	load_model	run_dir	wandb_group	wandb_run_name	description	notes
experiments/autocurriculum.json	autocurriculum-exploration-baselines	autocurriculum	jax	jax_mappo_autocurriculum	50	50	1	12	2	1	.	.	.	.	.	.	Single-env JAX MAPPO autocurriculum that grows from 4x4 through 50x50 after six deliveries per stage.	Each episode starts at 4x4 and grows the active square grid by one after six hub deliveries. Each active stage has two food sources with six bites each, sampled outside the initial actor vision.
experiments/communication_bits.json	communication-memory-bytes	communication_bits	jax	jax_mappo_communication	25	25	1	23	6	2	.	.	runs/notebooks/forage_curriculum/checkpoints/jax_mappo_forage_stage1_25x25.pkl	.	.	.	25x25 JAX MAPPO communication-bit curriculum using the 50-padded forage checkpoint produced by the notebook.	Communication training starts from the 25x25 one-bit policy produced by the 4x4-50x50 forage notebook. The task remains 25x25, but observation tensors stay padded to 50x50 for checkpoint compatibility.
experiments/direct_goal_baseline.json	autocurriculum-exploration-baselines	direct_goal_baseline	jax	jax_mappo_direct_goal_baseline	50	50	10	48	25	5	.	.	.	.	.	.	Direct sparse-reward JAX MAPPO baseline for the final 50x50, 3x3-vision, 5-bit, 10-ant AntByte target.	Direct baseline trains the final target from scratch with sparse environment delivery reward only.
experiments/exploration_curriculum.json	autocurriculum-exploration-baselines	exploration_curriculum	jax	jax_mappo_exploration	50	50	1	48	12	1	.	explore	.	.	.	.	Progressive JAX MAPPO exploration curriculum for maps from 4x4 through 50x50.	Notebook orchestration logs a W&B preview video after every saved exploration stage and keeps the per-stage PPO update budget fixed instead of increasing it with map size.
experiments/exploration_to_forage_50x50.json	source-layout-50x50	exploration_to_forage_50x50	jax	jax_mappo_exploration_to_forage_50x50	50	50	4	48	12	1	.	forage	runs/notebooks/exploration_to_forage_50x50/checkpoints/model_update_014000.pkl	.	.	.	Continue the best early 50x50 forage checkpoint through a size curriculum into efficient 50x50 foraging with a small decaying visit prior.	Warm-start from the best observed early 50x50 forage checkpoint, then relearn the forage loop through 8x8 to 50x50 randomized food/hub stages with a 15x larger per-stage update budget. The new-cell visit reward decays from 0.02 to 0.005 through 25x25, then turns off so late stages emphasize food delivery over broad wandering. Carrying ants receive a small normalized progress bonus for moving toward the hub, while generic distance shaping and byte-trail reward shaping stay disabled. Byte reading/writing remains available. W&B logs two deterministic rollout previews per stage with run-specific reset seeds so preview maps differ between notebook runs. The final 50x50 stage keeps the best checkpoint by held-out deterministic delivered food per 1000 ant-steps.
experiments/exploration_to_forage_full_layout_16ants_half_food_8types_50x50_from_shared_writes.json	critic-full-layout-50x50	exploration_to_forage_proximity_sources_full_layout_50x50_16ants_half_food_8types_from_shared_writes_best	jax	jax_mappo_full_layout_proximity_16ants_half_food_8types_from_shared_writes_best	50	50	16	125	2	8	strided_cnn	forage	runs/notebooks/exploration_to_forage_proximity_sources_full_layout_50x50_8ants_half_food_2src_shared_writes_from_64env_best/checkpoints/best_full_layout_proximity_8ants_half_food_shared_writes.pkl	.	.	.	Continue the best shared-write 8-ant half-food full-layout checkpoint with 16 total ants and 8 per-ant write-channel types.	Continuation from the best shared-write 8-ant half-food full-layout checkpoint. This run doubles the colony to 16 ants and enables 8 per-ant write-channel types, so two ants share each write type. The actor expands from 4 to 8 write bits with neutral-new write-head transfer, preserving old write actions while initializing new write-channel actions from the old mean. The rest of the 64-env full-layout recipe is preserved: unrestricted random hub and random food placement on the full 50x50 arena, two single-tile macro food sources, 125 total food, 2000-step episodes, strided_cnn critic, and eval-selected best checkpoints by delivered fraction.
experiments/exploration_to_forage_full_layout_60ants_half_food_50x50_shared_writes_write_cost_8bits_from_best.json	sixty-ant-50x50-stabilization	fl50_60ants_half_food_sw_wc_8bits_from_8bit_best	jax	jax_mappo_fl50_60ants_half_food_sw_wc_8bits_from_8bit_best	50	50	60	125	2	8	strided_cnn	forage	runs/notebooks/fl50_8ants_half_food_shared_writes_write_cost_8bits_from_best/checkpoints/best_full_layout_proximity_8ants_half_food_shared_writes_write_cost_8bits.pkl	.	.	.	Continue the best 50x50 8-bit shared-write write-cost checkpoint with 60 ants. The shared actor receives 8 repeating one-hot identity types, assigned by ant index modulo 8, and a radius-2 local grid. The colony spawn point is restricted to the centered 24x24 internal window.	Continuation from the eval-selected 8-bit shared-write write-cost checkpoint. The environment spawns 60 ants at a colony hub sampled inside the centered 24x24 internal window. The actor remains shared, uses radius-2 local observations, and receives 8 repeating one-hot identity types instead of one unique identity slot per ant.
experiments/exploration_to_forage_full_layout_60ants_half_food_50x50_shared_writes_write_cost_8bits_speed_shaping_from_60best.json	sixty-ant-50x50-stabilization	fl50_60ants_half_food_sw_wc_8bits_speed_shaping_from_60best	jax	jax_mappo_fl50_60ants_half_food_sw_wc_8bits_speed_shaping_from_60best	50	50	60	125	2	8	strided_cnn	forage	runs/notebooks/fl50_60ants_half_food_sw_wc_8bits_from_8bit_best/checkpoints/best_full_layout_proximity_60ants_half_food_shared_writes_write_cost_8bits.pkl	.	.	.	Speed-shaped 60-ant full-layout stabilization from the preserved best 60-ant checkpoint. This variant selects checkpoints by held-out delivered food per 1000 ant-steps and adds small time/distance shaping to favor faster cookie retrieval.	Speed-shaping trial for fast cookie retrieval. It adds a small per-ant time cost plus empty-ant food-distance and carrying-ant hub-distance shaping, while selecting the best checkpoint by delivered food per 1000 ant-steps. This is an experimental variant; compare against the no-shaping stabilization best before promoting it.
experiments/exploration_to_forage_full_layout_60ants_half_food_50x50_shared_writes_write_cost_8bits_stabilize_from_60best.json	sixty-ant-50x50-stabilization	fl50_60ants_half_food_sw_wc_8bits_stabilize_from_60best	jax	jax_mappo_fl50_60ants_half_food_sw_wc_8bits_stabilize_from_60best	50	50	60	125	2	8	strided_cnn	forage	runs/notebooks/fl50_60ants_half_food_sw_wc_8bits_from_8bit_best/checkpoints/best_full_layout_proximity_60ants_half_food_shared_writes_write_cost_8bits.pkl	.	.	.	Stabilize the preserved best 60-ant full-layout checkpoint with entropy disabled, a fresh optimizer, a lower learning rate, and frequent held-out evals so PPO does not destroy the transferred policy.	Short stabilization run from the preserved eval-selected 60-ant checkpoint. The goal is fast cookie retrieval under gentle PPO updates: entropy coefficient is zero, Adam state is reset, learning rate is 10x lower, PPO clipping is tighter, gradients are clipped harder, and held-out eval runs every 10 updates. Checkpoints are selected by delivered food per 1000 ant-steps, not just final delivered fraction, so the run favors faster retrieval. The live longer stabilization runs peaked early and then drifted down in eval, so future runs use a 100-update cap unless a new setting proves it can improve past the early best. Overnight deployment sweeps found the main efficiency win was not a new checkpoint but lowering sampled movement temperature from 0.75 to 0.525; notebook previews, checkpoint videos, and best-eval selection now use 0.525.
experiments/exploration_to_forage_full_layout_60ants_half_food_50x50_shared_writes_write_cost_8bits_time_penalty_from_stabilized_best.json	sixty-ant-50x50-stabilization	fl50_60ants_half_food_sw_wc_8bits_time_penalty_from_stabilized_best	jax	jax_mappo_fl50_60ants_half_food_sw_wc_8bits_time_penalty_from_stabilized_best	50	50	60	125	2	8	strided_cnn	forage	runs/notebooks/fl50_60ants_half_food_sw_wc_8bits_stabilize_from_60best/checkpoints/best_full_layout_proximity_60ants_half_food_shared_writes_write_cost_8bits_stabilized.pkl	.	.	.	Time-penalty-only efficiency fine-tune from the preserved stabilized 60-ant checkpoint. This ablates the distance shaping that hurt throughput in the speed-shaping trial.	Time-penalty-only efficiency ablation from the strongest stabilized checkpoint. Promote only if a fair 32-episode re-eval beats the stabilized best on delivered food per 1000 ant-steps without sacrificing delivered fraction.
